"","R2gainPvalue","R2losePvalue","AshiftPvalue","phasePvalue","intshiftPvalue"
"PDZRN3",0.000117605550982058,0.999882394449018,0.133599905915559,0.981712336822298,0.323924889254773
"LOC100049716",0.000163341043030618,0.999836658956969,0.102584708664916,0.552563147647236,0.668646360108197
"RCBTB2",0.000672965097285871,0.999327034902714,0.109190220445072,0.569798894507821,0.922373802710155
"TCTN2",0.000888575274086256,0.999111424725914,0.165817293242908,0.885550197969344,0.802128660472774
"TEKT4P2",0.00090164255752867,0.999098357442471,0.00121525736014738,0.522998418858703,0.402720608412717
"LINC01158",0.000921243482692402,0.999078756517308,0.0377905837155513,0.998150979392894,0.285814157094882
"ARHGEF37",0.00132632926940823,0.998673670730592,0.0820429390933919,0.652475596848171,0.0280097220588812
"ZNF559",0.00151580487932368,0.998484195120676,0.0178956446744286,0.61088896729259,0.46734485867733
"RPL17",0.00160074222169948,0.998399257778301,0.0206985769728332,0.232179492205365,0.354633005344519
"EXD2",0.00181635239849987,0.9981836476015,0.406673461654057,0.854750610895501,0.540175362943798
"CCDC77",0.00272452859774985,0.99727547140225,0.066460203588276,0.171187946737753,0.138127719628366
"SNHG10",0.00300547519176242,0.996994524808238,0.0589791838174761,0.419583937695193,0.766742456910633
"EBPL",0.00363270479699973,0.996367295203,0.0231225580514067,0.550524651430214,0.474165980634286
"TTC39A",0.00400512237510942,0.995994877624891,0.118069439544213,0.932703490271408,0.0683810942543155
"MGST2",0.00446901093731622,0.995530989062684,0.0419982489840187,0.985024893174958,0.647954316777085
"SORD",0.00466502018895287,0.995334979811047,0.177982934127824,0.704934206227867,0.342330157983457
"TRAFD1",0.0052203797352568,0.994779620264743,0.199851032968756,0.590438668705163,0.708932794961255
"ABCA17P",0.00522691337697812,0.994773086623022,0.0565944045892299,0.307303304715983,0.763109752113633
"POLR1D",0.00530531707763271,0.994694682922367,0.364243992316437,0.632796267983849,0.794059612947064
"NIM1K",0.0055993309550878,0.994400669044912,0.480242267435023,0.848942203405334,0.653932598952004
"LOC100505501",0.00612855593450679,0.993871444065493,0.210128451396239,0.474486129078626,0.517745370914841
"PRICKLE2",0.00677538646490783,0.993224613535092,0.28650018947561,0.708148757954709,0.647771374808891
"THEMIS2",0.00678845374835024,0.99321154625165,0.0232924327361584,0.628614737282266,0.179047917728383
"MRC2",0.00686685744900495,0.993133142550995,0.0187058162478603,0.489173755667934,0.195003070811609
"SLC22A4",0.00769009630587902,0.992309903694121,0.0842905118454924,0.471382649261045,0.856266415774825
"LRRC56",0.00772929815620627,0.992270701843794,0.0185555424882721,0.90353731362787,0.0369216093666288
"C1D",0.00786650463235194,0.992133495367648,0.0561566505939081,0.530296496661309,0.198126151554353
"RBX1",0.00787957191579447,0.992120428084206,0.0308257216407281,0.414187149633463,0.539502397846512
"PIP5K1A",0.0079122401244005,0.992087759875599,0.237582813908817,0.854129914931985,0.796202647431625
"SFXN4",0.00797104289989159,0.992028957100108,0.0714911077136174,0.24380284082742,0.851189776157435
"WIPI1",0.00856560429652276,0.991434395703477,0.0585544971055967,0.934408770760647,0.801534099076143
"LOC101927359",0.00872894533955337,0.991271054660447,0.143125955545102,0.774132005697336,0.329099533497981
"B4GALT5",0.00908829563422064,0.990911704365779,0.33593372273838,0.777078678113607,0.980412142119775
"GUSBP9",0.00975472708978531,0.990245272910215,0.00397245416650338,0.936721679929959,0.210448599840579
